translation.general-actions.save,保存
translation.general-actions.cancel,取消
translation.general-actions.loading,加载中
translation.general-actions.delete,删除
translation.general-actions.report,报告
translation.landing-page.get-started,开始使用
translation.landing-page.welcome,欢迎来到 TimeScale Creator！
translation.landing-page.welcome-desc,TimeScale Creator 是一款先进的在线云端服务，可帮助您轻松探索和可视化地质年代。其内部数据库包含超过 20,000 条全球与区域事件记录——包括生物、地磁、海平面与稳定同位素等数据，是研究人员、教育者与地球历史爱好者的理想工具。
translation.landing-page.carousel.customize-chart.title,自定义图表
translation.landing-page.carousel.customize-chart.customize-chart-appearance.title,自定义图表外观
translation.landing-page.carousel.customize-chart.customize-chart-appearance.description,通过调整外观、颜色和字体来个性化您的图表。
translation.landing-page.carousel.customize-chart.save-custom-settings.title,保存自定义设置
translation.landing-page.carousel.customize-chart.save-custom-settings.description,保存您的自定义图表设置，以便未来快速访问。
translation.landing-page.carousel.customize-chart.share-your-charts.title,分享您的图表
translation.landing-page.carousel.customize-chart.share-your-charts.description,通过链接或下载图片轻松分享您的自定义图表。
translation.landing-page.carousel.interactive-map-points.title,交互式地图点
translation.landing-page.carousel.interactive-map-points.toggle-columns.title,在地图上切换列
translation.landing-page.carousel.interactive-map-points.toggle-columns.description,通过启用或禁用图表列来选择您想关注的区域。
translation.landing-page.carousel.interactive-map-points.age-slider.title,动态时间滑块
translation.landing-page.carousel.interactive-map-points.age-slider.description,使用滑块查看岩层与地质事件随时间的变化。
translation.landing-page.carousel.interactive-map-points.link-charts.title,将图表链接到位置
translation.landing-page.carousel.interactive-map-points.link-charts.description,地图点将图表列与真实地理位置相连接，实现直观可视化。
translation.landing-page.carousel.search-columns.title,列内搜索
translation.landing-page.carousel.search-columns.find-columns.title,快速查找列/事件
translation.landing-page.carousel.search-columns.find-columns.description,搜索特定列或事件，快速定位相关信息。
translation.landing-page.carousel.search-columns.age-range.title,扩展/居中时间范围
translation.landing-page.carousel.search-columns.age-range.description,扩展或居中时间范围，以确保图表包含所需信息。
translation.landing-page.carousel.search-columns.notes.title,查看特定注释
translation.landing-page.carousel.search-columns.notes.description,直接从图表访问特定事件的详细注释和信息。
translation.landing-page.carousel.upload.title,上传您的数据！
translation.landing-page.carousel.upload.custom.title,创建自定义数据包
translation.landing-page.carousel.upload.custom.description,上传您的数据以创建自定义数据包，并基于独特的研究生成图表。
translation.landing-page.carousel.upload.showcase.title,展示您的研究
translation.landing-page.carousel.upload.showcase.description,发布自定义数据包，与全球科学社区分享您的研究成果与见解。
translation.landing-page.carousel.upload.collaborate.title,与他人协作
translation.landing-page.carousel.upload.collaborate.description,查看其他用户的数据包并进行协作，以拓展您的知识与专业能力。
translation.landing-page.cards.datapack.title,什么是数据包？
translation.landing-page.cards.datapack.description,数据包是用于生成图表的数据集合。TimeScale Creator 提供多种官方数据包，包含全球与区域地质事件信息。
translation.landing-page.cards.charts.title,什么是图表？
translation.landing-page.cards.charts.description,图表是地质时间尺度的可视化表示，用于展示不同地质事件之间的关系。用户可根据研究需求自定义并生成图表。
translation.landing-page.cards.help.title,需要帮助？
translation.landing-page.cards.help.description,参加我们的研讨会，了解 TimeScale Creator 的使用方法，包括图表自定义、数据包创建等主题。
translation.landing-page.cards.more,探索更多
translation.landing-page.chart-steps.title,图表创建步骤
translation.landing-page.chart-steps.select-datapack.title,选择任意数据包
translation.landing-page.chart-steps.select-datapack.description,从多种官方数据包中选择包含全球与区域地质事件的信息。
translation.landing-page.chart-steps.select-age-range.title,选择时间范围
translation.landing-page.chart-steps.select-age-range.description,选择您图表所需的时间范围，以关注特定地质事件与地层。
translation.landing-page.chart-steps.select-columns.title,选择/编辑列
translation.landing-page.chart-steps.select-columns.description,选择要在图表中显示的列，并自定义其外观和颜色。
translation.landing-page.chart-steps.generate.title,生成图表
translation.landing-page.chart-steps.generate.description,基于选择的数据包与设置生成图表。
translation.languages,语言
translation.about,TimeScale Creator Online 使您能够根据广泛的全球与区域事件数据探索和创建任意部分的地质时间尺度图表。内部数据库包含超过 20,000 条生物、地磁、海平面、稳定同位素等事件记录。
translation.login.signin,登录
translation.login.forgot-password,忘记密码？
translation.login.signup,没有账户？注册
translation.login.username,用户名
translation.login.password,密码
translation.login.tooltip,账户设置
translation.login.profile,个人资料
translation.login.add,添加其他账户
translation.login.logout,退出登录
translation.login.admin,管理员
translation.login.profile-info,个人资料信息
translation.login.welcome,欢迎
translation.login.email,邮箱
translation.login.settings,设置
translation.login.dark-mode,深色模式
translation.login.delete,删除账户
translation.login.save,保存
translation.login.cancel,取消
translation.login.change,更改
translation.login.current-password,当前密码
translation.login.new-password,新密码
translation.login.new-email,新邮箱
translation.login.new-username,新用户名
translation.login.reset-password,请输入您的邮箱以接收密码重置链接。
translation.login.enter-new-password,请输入您的新密码。
translation.login.recovery,密码恢复
translation.login.send,发送
translation.signup.title,注册
translation.signup.email,邮箱地址
translation.signup.username,用户名
translation.signup.password,密码
translation.signup.signin,已有账户？登录
